ID,Model,Task,Method,Shot,Compare,OR,p_value,p_value_holm,p_value_fdr_bh
1,codellama-13b,java,naive,3-shot,BASE vs STRUCT,0.5,1.0,1.0,1.0
2,codellama-13b,java,naive,3-shot,BASE vs ROBUST,0.333,0.5,1.0,1.0
3,codellama-13b,java,naive,3-shot,BASE vs REASONING,0.5,1.0,1.0,1.0
4,codellama-13b,java,naive,3-shot,BASE vs EDGE,0.5,1.0,1.0,1.0
5,codellama-13b,java,retrieval,3-shot,BASE vs STRUCT,0.333,0.5,1.0,0.66667
6,codellama-13b,java,retrieval,3-shot,BASE vs ROBUST,0.5,1.0,1.0,1.0
7,codellama-13b,java,retrieval,3-shot,BASE vs REASONING,0.333,0.5,1.0,0.66667
8,codellama-13b,java,retrieval,3-shot,BASE vs EDGE,0.25,0.25,1.0,0.66667
9,codellama-13b,java,zero,0-shot,BASE vs STRUCT,2.0,0.625,1.0,0.91667
10,codellama-13b,java,zero,0-shot,BASE vs ROBUST,5.0,0.125,0.5,0.5
11,codellama-13b,java,zero,0-shot,BASE vs REASONING,1.667,0.6875,1.0,0.91667
12,codellama-13b,java,zero,0-shot,BASE vs EDGE,1.0,1.0,1.0,1.0
13,codellama-34b,java,naive,3-shot,BASE vs STRUCT,0.2,0.125,0.5,0.16667
14,codellama-34b,java,naive,3-shot,BASE vs ROBUST,0.25,0.25,0.5,0.25
15,codellama-34b,java,naive,3-shot,BASE vs REASONING,0.2,0.125,0.5,0.16667
16,codellama-34b,java,naive,3-shot,BASE vs EDGE,0.2,0.125,0.5,0.16667
17,codellama-34b,java,retrieval,3-shot,BASE vs STRUCT,1.0,1.0,1.0,1.0
18,codellama-34b,java,retrieval,3-shot,BASE vs ROBUST,1.0,1.0,1.0,1.0
19,codellama-34b,java,retrieval,3-shot,BASE vs REASONING,0.667,1.0,1.0,1.0
20,codellama-34b,java,retrieval,3-shot,BASE vs EDGE,0.667,1.0,1.0,1.0
21,codellama-34b,java,zero,0-shot,BASE vs STRUCT,1.0,1.0,1.0,1.0
22,codellama-34b,java,zero,0-shot,BASE vs ROBUST,0.8,1.0,1.0,1.0
23,codellama-34b,java,zero,0-shot,BASE vs REASONING,1.0,1.0,1.0,1.0
24,codellama-34b,java,zero,0-shot,BASE vs EDGE,1.0,1.0,1.0,1.0
25,codellama-7b,java,naive,3-shot,BASE vs STRUCT,1.0,1.0,1.0,1.0
26,codellama-7b,java,naive,3-shot,BASE vs ROBUST,3.0,0.5,1.0,0.66667
27,codellama-7b,java,naive,3-shot,BASE vs REASONING,3.0,0.5,1.0,0.66667
28,codellama-7b,java,naive,3-shot,BASE vs EDGE,3.0,0.5,1.0,0.66667
29,codellama-7b,java,retrieval,3-shot,BASE vs STRUCT,1.0,1.0,1.0,1.0
30,codellama-7b,java,retrieval,3-shot,BASE vs ROBUST,2.0,1.0,1.0,1.0
31,codellama-7b,java,retrieval,3-shot,BASE vs REASONING,2.0,1.0,1.0,1.0
32,codellama-7b,java,retrieval,3-shot,BASE vs EDGE,2.0,1.0,1.0,1.0
33,codellama-7b,java,zero,0-shot,BASE vs STRUCT,4.0,0.25,0.875,0.33333
34,codellama-7b,java,zero,0-shot,BASE vs ROBUST,2.5,0.375,0.875,0.375
35,codellama-7b,java,zero,0-shot,BASE vs REASONING,3.0,0.21875,0.875,0.33333
36,codellama-7b,java,zero,0-shot,BASE vs EDGE,3.0,0.21875,0.875,0.33333
