model,task,method,shot,pass@k,pass@k_40,pass@k_185,pass@k_294,pass@k_480,pass@k_638
codellama-13b,java,naive,3-shot,pass@1,33.04,31.74,32.17,32.17,32.17
codellama-13b,java,retrieval,3-shot,pass@1,34.35,32.17,31.30,32.17,31.74
codellama-13b,java,zero,0-shot,pass@1,32.61,31.74,30.43,31.74,32.17
codellama-13b,python,naive,3-shot,pass@1,22.61,23.04,21.30,22.61,21.74
codellama-13b,python,retrieval,3-shot,pass@1,20.43,20.87,20.87,21.30,21.30
codellama-13b,python,zero,0-shot,pass@1,19.57,20.43,20.87,18.70,20.00
codellama-34b,java,naive,3-shot,pass@1,32.17,31.30,32.61,33.04,31.74
codellama-34b,java,retrieval,3-shot,pass@1,27.39,24.78,26.52,24.78,25.65
codellama-34b,java,zero,0-shot,pass@1,33.04,31.30,33.04,32.61,31.74
codellama-34b,python,naive,3-shot,pass@1,22.61,21.30,22.17,21.74,22.61
codellama-34b,python,retrieval,3-shot,pass@1,23.04,23.04,22.17,21.74,21.74
codellama-34b,python,zero,0-shot,pass@1,20.87,20.43,21.30,20.43,20.00
codellama-7b,java,naive,3-shot,pass@1,30.43,30.00,30.43,30.00,29.57
codellama-7b,java,retrieval,3-shot,pass@1,23.04,20.87,24.35,20.87,21.74
codellama-7b,java,zero,0-shot,pass@1,29.57,27.39,29.13,30.43,31.30
codellama-7b,python,naive,3-shot,pass@1,21.30,21.74,20.87,20.87,21.30
codellama-7b,python,retrieval,3-shot,pass@1,21.30,21.30,20.43,19.57,18.26
codellama-7b,python,zero,0-shot,pass@1,19.57,21.30,18.26,18.70,17.83
gpt-20b,java,naive,3-shot,pass@1,21.74,30.43,35.65,35.22,38.26
gpt-20b,java,retrieval,3-shot,pass@1,30.00,40.00,40.43,41.30,44.78
gpt-20b,java,zero,0-shot,pass@1,41.74,41.30,40.87,39.57,41.74
gpt-20b,python,naive,3-shot,pass@1,27.39,25.65,26.09,26.09,26.52
gpt-20b,python,retrieval,3-shot,pass@1,23.91,24.35,26.09,26.96,23.91
gpt-20b,python,zero,0-shot,pass@1,23.91,24.78,26.96,26.96,26.96
qwen2.5-1.5b,java,naive,3-shot,pass@1,34.78,35.65,33.48,32.61,33.04
qwen2.5-1.5b,java,retrieval,3-shot,pass@1,32.61,32.61,30.87,31.74,33.91
qwen2.5-1.5b,java,zero,0-shot,pass@1,33.48,34.78,28.26,27.39,29.57
qwen2.5-1.5b,python,naive,3-shot,pass@1,21.30,20.43,20.00,20.00,20.00
qwen2.5-1.5b,python,retrieval,3-shot,pass@1,18.26,16.96,17.39,17.39,17.39
qwen2.5-1.5b,python,zero,0-shot,pass@1,20.00,19.13,15.65,15.65,13.91
qwen2.5-32b,java,naive,3-shot,pass@1,11.74,30.87,39.13,38.26,37.39
qwen2.5-32b,java,retrieval,3-shot,pass@1,21.30,37.83,40.43,40.00,39.57
qwen2.5-32b,java,zero,0-shot,pass@1,38.26,40.87,41.74,40.43,39.57
qwen2.5-32b,python,naive,3-shot,pass@1,26.09,26.09,25.22,24.78,24.35
qwen2.5-32b,python,retrieval,3-shot,pass@1,25.65,28.26,26.96,26.09,25.22
qwen2.5-32b,python,zero,0-shot,pass@1,26.96,29.13,26.09,26.52,25.22
qwen2.5-7b,java,naive,3-shot,pass@1,28.70,33.04,36.52,36.96,36.96
qwen2.5-7b,java,retrieval,3-shot,pass@1,16.09,23.04,30.43,27.39,33.04
qwen2.5-7b,java,zero,0-shot,pass@1,36.09,36.96,37.83,36.96,35.65
qwen2.5-7b,python,naive,3-shot,pass@1,21.74,21.74,22.17,23.48,23.04
qwen2.5-7b,python,retrieval,3-shot,pass@1,21.74,20.87,22.17,23.04,22.17
qwen2.5-7b,python,zero,0-shot,pass@1,18.26,23.04,20.43,20.87,22.61
