ID,Model,Task,Method,Shot,Compare,OR,p_value,p_value_holm,p_value_fdr_bh
1,qwen2.5-1.5b,java,retrieval,3-shot,BASE vs STRUCT,1.0,1.0,1.0,1.0
2,qwen2.5-1.5b,java,retrieval,3-shot,BASE vs ROBUST,0.429,0.28906,1.0,1.0
3,qwen2.5-1.5b,java,retrieval,3-shot,BASE vs REASONING,0.778,0.79053,1.0,1.0
4,qwen2.5-1.5b,java,retrieval,3-shot,BASE vs EDGE,1.375,0.62906,1.0,1.0
5,gpt-20b,java,retrieval,3-shot,BASE vs STRUCT,4.833,7e-05,0.00013,9e-05
6,gpt-20b,java,retrieval,3-shot,BASE vs ROBUST,4.0,0.00012,0.00013,0.00012
7,gpt-20b,java,retrieval,3-shot,BASE vs REASONING,5.333,1e-05,4e-05,3e-05
8,gpt-20b,java,retrieval,3-shot,BASE vs EDGE,12.333,0.0,0.0,0.0
9,qwen2.5-7b,java,naive,3-shot,BASE vs STRUCT,6.0,0.00635,0.00635,0.00635
10,qwen2.5-7b,java,naive,3-shot,BASE vs ROBUST,10.0,4e-05,0.00016,0.00013
11,qwen2.5-7b,java,naive,3-shot,BASE vs REASONING,7.333,7e-05,0.0002,0.00013
12,qwen2.5-7b,java,naive,3-shot,BASE vs EDGE,4.167,0.00055,0.00109,0.00073
13,codellama-7b,java,retrieval,3-shot,BASE vs STRUCT,0.615,0.35928,1.0,0.66362
14,codellama-7b,java,retrieval,3-shot,BASE vs ROBUST,1.333,0.64761,1.0,0.66362
15,codellama-7b,java,retrieval,3-shot,BASE vs REASONING,0.583,0.33231,1.0,0.66362
16,codellama-7b,java,retrieval,3-shot,BASE vs EDGE,0.769,0.66362,1.0,0.66362
17,gpt-20b,java,zero,0-shot,BASE vs STRUCT,0.889,1.0,1.0,1.0
18,gpt-20b,java,zero,0-shot,BASE vs ROBUST,0.846,0.83181,1.0,1.0
19,gpt-20b,java,zero,0-shot,BASE vs REASONING,0.688,0.42436,1.0,1.0
20,gpt-20b,java,zero,0-shot,BASE vs EDGE,1.0,1.0,1.0,1.0
21,codellama-7b,java,zero,0-shot,BASE vs STRUCT,0.545,0.30176,1.0,1.0
22,codellama-7b,java,zero,0-shot,BASE vs ROBUST,0.929,1.0,1.0,1.0
23,codellama-7b,java,zero,0-shot,BASE vs REASONING,1.143,0.85055,1.0,1.0
24,codellama-7b,java,zero,0-shot,BASE vs EDGE,1.333,0.5572,1.0,1.0
25,qwen2.5-32b,java,retrieval,3-shot,BASE vs STRUCT,13.667,0.0,0.0,0.0
26,qwen2.5-32b,java,retrieval,3-shot,BASE vs ROBUST,12.0,0.0,0.0,0.0
27,qwen2.5-32b,java,retrieval,3-shot,BASE vs REASONING,11.75,0.0,0.0,0.0
28,qwen2.5-32b,java,retrieval,3-shot,BASE vs EDGE,9.4,0.0,0.0,0.0
29,qwen3.8-27b-original,java,retrieval,3-shot,BASE vs STRUCT,1.571,0.4545,0.65388,0.4545
30,qwen3.8-27b-original,java,retrieval,3-shot,BASE vs ROBUST,1.545,0.32694,0.65388,0.43592
31,qwen3.8-27b-original,java,retrieval,3-shot,BASE vs REASONING,3.5,0.00408,0.01223,0.00815
32,qwen3.8-27b-original,java,retrieval,3-shot,BASE vs EDGE,3.833,0.00151,0.00605,0.00605
33,qwen2.5-7b,java,retrieval,3-shot,BASE vs STRUCT,3.667,0.00249,0.00249,0.00249
34,qwen2.5-7b,java,retrieval,3-shot,BASE vs ROBUST,7.6,0.0,0.0,0.0
35,qwen2.5-7b,java,retrieval,3-shot,BASE vs REASONING,3.889,7e-05,0.00014,9e-05
36,qwen2.5-7b,java,retrieval,3-shot,BASE vs EDGE,7.5,0.0,0.0,0.0
37,codellama-13b,java,naive,3-shot,BASE vs STRUCT,0.5,0.45312,1.0,0.625
38,codellama-13b,java,naive,3-shot,BASE vs ROBUST,0.5,0.625,1.0,0.625
39,codellama-13b,java,naive,3-shot,BASE vs REASONING,0.5,0.625,1.0,0.625
40,codellama-13b,java,naive,3-shot,BASE vs EDGE,0.5,0.625,1.0,0.625
41,codellama-13b,java,zero,0-shot,BASE vs STRUCT,0.6,0.6875,1.0,1.0
42,codellama-13b,java,zero,0-shot,BASE vs ROBUST,0.444,0.22656,0.90625,0.90625
43,codellama-13b,java,zero,0-shot,BASE vs REASONING,0.714,0.75391,1.0,1.0
44,codellama-13b,java,zero,0-shot,BASE vs EDGE,0.857,1.0,1.0,1.0
45,codellama-13b,java,retrieval,3-shot,BASE vs STRUCT,0.444,0.22656,0.35938,0.22656
46,codellama-13b,java,retrieval,3-shot,BASE vs ROBUST,0.3,0.06543,0.26172,0.21875
47,codellama-13b,java,retrieval,3-shot,BASE vs REASONING,0.375,0.17969,0.35938,0.22656
