dataset,language,model,method,shot,prompt_index,failure_type,count,rate
codereval,java,codellama-13b,naive,3-shot,0,EXECUTION_FAILURE,47,0.20434782608695654
codereval,java,codellama-13b,naive,3-shot,0,PASS,53,0.23043478260869565
codereval,java,codellama-13b,naive,3-shot,0,SYNTAX_COMPILE,124,0.5391304347826087
codereval,java,codellama-13b,naive,3-shot,0,UNKNOWN_FAILURE,6,0.02608695652173913
codereval,java,codellama-13b,naive,3-shot,1,EXECUTION_FAILURE,50,0.21739130434782608
codereval,java,codellama-13b,naive,3-shot,1,PASS,48,0.20869565217391303
codereval,java,codellama-13b,naive,3-shot,1,SYNTAX_COMPILE,126,0.5478260869565217
codereval,java,codellama-13b,naive,3-shot,1,UNKNOWN_FAILURE,6,0.02608695652173913
codereval,java,codellama-13b,naive,3-shot,2,EXECUTION_FAILURE,40,0.17391304347826086
codereval,java,codellama-13b,naive,3-shot,2,PASS,57,0.24782608695652175
codereval,java,codellama-13b,naive,3-shot,2,SYNTAX_COMPILE,128,0.5565217391304348
codereval,java,codellama-13b,naive,3-shot,2,UNKNOWN_FAILURE,5,0.021739130434782608
codereval,java,codellama-13b,naive,3-shot,3,EXECUTION_FAILURE,41,0.1782608695652174
codereval,java,codellama-13b,naive,3-shot,3,PASS,50,0.21739130434782608
codereval,java,codellama-13b,naive,3-shot,3,SYNTAX_COMPILE,135,0.5869565217391305
codereval,java,codellama-13b,naive,3-shot,3,UNKNOWN_FAILURE,4,0.017391304347826087
codereval,java,codellama-13b,naive,3-shot,4,EXECUTION_FAILURE,47,0.20434782608695654
codereval,java,codellama-13b,naive,3-shot,4,PASS,46,0.2
codereval,java,codellama-13b,naive,3-shot,4,SYNTAX_COMPILE,133,0.5782608695652174
codereval,java,codellama-13b,naive,3-shot,4,UNKNOWN_FAILURE,4,0.017391304347826087
codereval,java,codellama-13b,retrieval,3-shot,0,EXECUTION_FAILURE,41,0.1782608695652174
codereval,java,codellama-13b,retrieval,3-shot,0,PASS,51,0.2217391304347826
codereval,java,codellama-13b,retrieval,3-shot,0,SYNTAX_COMPILE,134,0.5826086956521739
codereval,java,codellama-13b,retrieval,3-shot,0,UNKNOWN_FAILURE,4,0.017391304347826087
codereval,java,codellama-13b,retrieval,3-shot,1,EXECUTION_FAILURE,40,0.17391304347826086
codereval,java,codellama-13b,retrieval,3-shot,1,PASS,49,0.21304347826086956
codereval,java,codellama-13b,retrieval,3-shot,1,SYNTAX_COMPILE,135,0.5869565217391305
codereval,java,codellama-13b,retrieval,3-shot,1,UNKNOWN_FAILURE,6,0.02608695652173913
codereval,java,codellama-13b,retrieval,3-shot,2,EXECUTION_FAILURE,45,0.1956521739130435
codereval,java,codellama-13b,retrieval,3-shot,2,PASS,49,0.21304347826086956
codereval,java,codellama-13b,retrieval,3-shot,2,SYNTAX_COMPILE,132,0.5739130434782609
codereval,java,codellama-13b,retrieval,3-shot,2,UNKNOWN_FAILURE,4,0.017391304347826087
codereval,java,codellama-13b,retrieval,3-shot,3,EXECUTION_FAILURE,35,0.15217391304347827
codereval,java,codellama-13b,retrieval,3-shot,3,PASS,56,0.24347826086956523
codereval,java,codellama-13b,retrieval,3-shot,3,SYNTAX_COMPILE,134,0.5826086956521739
codereval,java,codellama-13b,retrieval,3-shot,3,UNKNOWN_FAILURE,5,0.021739130434782608
codereval,java,codellama-13b,retrieval,3-shot,4,EXECUTION_FAILURE,34,0.14782608695652175
codereval,java,codellama-13b,retrieval,3-shot,4,PASS,58,0.25217391304347825
codereval,java,codellama-13b,retrieval,3-shot,4,SYNTAX_COMPILE,133,0.5782608695652174
codereval,java,codellama-13b,retrieval,3-shot,4,UNKNOWN_FAILURE,5,0.021739130434782608
codereval,java,codellama-13b,zero,0-shot,0,EXECUTION_FAILURE,52,0.22608695652173913
codereval,java,codellama-13b,zero,0-shot,0,PASS,47,0.20434782608695654
codereval,java,codellama-13b,zero,0-shot,0,SYNTAX_COMPILE,125,0.5434782608695652
codereval,java,codellama-13b,zero,0-shot,0,UNKNOWN_FAILURE,6,0.02608695652173913
codereval,java,codellama-13b,zero,0-shot,1,EXECUTION_FAILURE,56,0.24347826086956523
codereval,java,codellama-13b,zero,0-shot,1,PASS,52,0.22608695652173913
codereval,java,codellama-13b,zero,0-shot,1,SYNTAX_COMPILE,116,0.5043478260869565
