ID,Model,Task,Method,Shot,Compare,OR,p_value,p_value_holm,p_value_fdr_bh
1,gpt-20b,python,naive,3-shot,BASE vs STRUCT,1.222,0.81453,1.0,1.0
2,gpt-20b,python,naive,3-shot,BASE vs ROBUST,1.333,0.5572,1.0,1.0
3,gpt-20b,python,naive,3-shot,BASE vs REASONING,1.0,1.0,1.0,1.0
4,gpt-20b,python,naive,3-shot,BASE vs EDGE,0.818,0.81453,1.0,1.0
5,codellama-7b,python,naive,3-shot,BASE vs STRUCT,0.889,1.0,1.0,1.0
6,codellama-7b,python,naive,3-shot,BASE vs ROBUST,0.727,0.62906,1.0,1.0
7,codellama-7b,python,naive,3-shot,BASE vs REASONING,1.333,0.64761,1.0,1.0
8,codellama-7b,python,naive,3-shot,BASE vs EDGE,1.111,1.0,1.0,1.0
9,codellama-34b,python,naive,3-shot,BASE vs STRUCT,0.923,1.0,1.0,1.0
10,codellama-34b,python,naive,3-shot,BASE vs ROBUST,0.846,0.83181,1.0,1.0
11,codellama-34b,python,naive,3-shot,BASE vs REASONING,1.222,0.81453,1.0,1.0
12,codellama-34b,python,naive,3-shot,BASE vs EDGE,1.308,0.57159,1.0,1.0
13,codellama-13b,python,retrieval,3-shot,BASE vs STRUCT,0.917,1.0,1.0,1.0
14,codellama-13b,python,retrieval,3-shot,BASE vs ROBUST,1.091,1.0,1.0,1.0
15,codellama-13b,python,retrieval,3-shot,BASE vs REASONING,1.091,1.0,1.0,1.0
16,codellama-13b,python,retrieval,3-shot,BASE vs EDGE,0.917,1.0,1.0,1.0
17,qwen3.8-27b-original,python,retrieval,3-shot,BASE vs STRUCT,1.083,1.0,1.0,1.0
18,qwen3.8-27b-original,python,retrieval,3-shot,BASE vs ROBUST,1.538,0.28104,1.0,0.64802
19,qwen3.8-27b-original,python,retrieval,3-shot,BASE vs REASONING,1.0,1.0,1.0,1.0
20,qwen3.8-27b-original,python,retrieval,3-shot,BASE vs EDGE,1.438,0.32401,1.0,0.64802
21,qwen2.5-32b,python,naive,3-shot,BASE vs STRUCT,1.833,0.30176,1.0,0.606
22,qwen2.5-32b,python,naive,3-shot,BASE vs ROBUST,1.571,0.4545,1.0,0.606
23,qwen2.5-32b,python,naive,3-shot,BASE vs REASONING,1.667,0.42395,1.0,0.606
24,qwen2.5-32b,python,naive,3-shot,BASE vs EDGE,1.2,1.0,1.0,1.0
25,gpt-20b,python,zero,0-shot,BASE vs STRUCT,1.333,0.77441,1.0,1.0
26,gpt-20b,python,zero,0-shot,BASE vs ROBUST,0.9,1.0,1.0,1.0
27,gpt-20b,python,zero,0-shot,BASE vs REASONING,0.625,0.30746,1.0,1.0
28,gpt-20b,python,zero,0-shot,BASE vs EDGE,1.1,1.0,1.0,1.0
29,codellama-13b,python,naive,3-shot,BASE vs STRUCT,1.385,0.45826,1.0,0.74293
30,codellama-13b,python,naive,3-shot,BASE vs ROBUST,1.333,0.5572,1.0,0.74293
31,codellama-13b,python,naive,3-shot,BASE vs REASONING,1.6,0.30746,1.0,0.74293
32,codellama-13b,python,naive,3-shot,BASE vs EDGE,1.167,0.83882,1.0,0.83882
33,qwen2.5-7b,python,zero,0-shot,BASE vs STRUCT,0.769,0.66362,1.0,0.83181
34,qwen2.5-7b,python,zero,0-shot,BASE vs ROBUST,0.846,0.83181,1.0,0.83181
35,qwen2.5-7b,python,zero,0-shot,BASE vs REASONING,0.615,0.35928,1.0,0.83181
36,qwen2.5-7b,python,zero,0-shot,BASE vs EDGE,0.75,0.64761,1.0,0.83181
37,codellama-7b,python,zero,0-shot,BASE vs STRUCT,1.364,0.54126,1.0,0.54126
