ID,Model,Task,Method,Shot,Compare,OR,p_value,p_value_holm,p_value_fdr_bh
1,qwen2.5-1.5b,java,retrieval,3-shot,BASE vs STRUCT,1.176,0.73588,1.0,0.86794
2,qwen2.5-1.5b,java,retrieval,3-shot,BASE vs ROBUST,1.143,0.76079,1.0,0.86794
3,qwen2.5-1.5b,java,retrieval,3-shot,BASE vs REASONING,1.421,0.29122,1.0,0.86794
4,qwen2.5-1.5b,java,retrieval,3-shot,BASE vs EDGE,0.9,0.86794,1.0,0.86794
5,gpt-20b,java,retrieval,3-shot,BASE vs STRUCT,1.294,0.51138,0.51138,0.51138
6,gpt-20b,java,retrieval,3-shot,BASE vs ROBUST,2.455,0.01133,0.02266,0.01511
7,gpt-20b,java,retrieval,3-shot,BASE vs REASONING,3.25,0.0021,0.00631,0.0042
8,gpt-20b,java,retrieval,3-shot,BASE vs EDGE,3.444,0.00047,0.00189,0.00189
9,qwen2.5-7b,java,naive,3-shot,BASE vs STRUCT,1.875,0.04877,0.09753,0.05958
10,qwen2.5-7b,java,naive,3-shot,BASE vs ROBUST,2.2,0.01135,0.03405,0.0227
11,qwen2.5-7b,java,naive,3-shot,BASE vs REASONING,1.867,0.05958,0.09753,0.05958
12,qwen2.5-7b,java,naive,3-shot,BASE vs EDGE,2.692,0.00164,0.00657,0.00657
13,codellama-7b,java,retrieval,3-shot,BASE vs STRUCT,0.75,0.42959,1.0,0.85918
14,codellama-7b,java,retrieval,3-shot,BASE vs ROBUST,1.667,0.20049,0.80195,0.80195
15,codellama-7b,java,retrieval,3-shot,BASE vs REASONING,0.917,0.8804,1.0,0.8804
16,codellama-7b,java,retrieval,3-shot,BASE vs EDGE,0.909,0.87463,1.0,0.8804
17,gpt-20b,java,zero,0-shot,BASE vs STRUCT,1.091,1.0,1.0,1.0
18,gpt-20b,java,zero,0-shot,BASE vs ROBUST,0.75,0.64761,1.0,1.0
19,gpt-20b,java,zero,0-shot,BASE vs REASONING,0.917,1.0,1.0,1.0
20,gpt-20b,java,zero,0-shot,BASE vs EDGE,2.286,0.07835,0.31342,0.31342
21,codellama-7b,java,zero,0-shot,BASE vs STRUCT,0.833,0.7201,1.0,0.7201
22,codellama-7b,java,zero,0-shot,BASE vs ROBUST,0.8,0.69004,1.0,0.7201
23,codellama-7b,java,zero,0-shot,BASE vs REASONING,1.389,0.34889,1.0,0.7201
24,codellama-7b,java,zero,0-shot,BASE vs EDGE,0.833,0.7201,1.0,0.7201
25,qwen2.5-32b,java,retrieval,3-shot,BASE vs STRUCT,5.375,0.0,0.0,0.0
26,qwen2.5-32b,java,retrieval,3-shot,BASE vs ROBUST,10.2,0.0,0.0,0.0
27,qwen2.5-32b,java,retrieval,3-shot,BASE vs REASONING,6.0,0.0,0.0,0.0
28,qwen2.5-32b,java,retrieval,3-shot,BASE vs EDGE,10.2,0.0,0.0,0.0
