model,task,method,shot,pass@k,pass@k_40,pass@k_185,pass@k_294,pass@k_480,pass@k_638
codellama-13b,java,naive,3-shot,pass@1,20.75,22.64,24.53,22.64,22.64
codellama-13b,java,retrieval,3-shot,pass@1,20.75,24.53,22.64,24.53,26.42
codellama-13b,java,zero,0-shot,pass@1,24.53,20.75,16.98,20.75,24.53
codellama-13b,python,naive,3-shot,pass@1,34.00,36.00,34.00,34.00,34.00
codellama-13b,python,retrieval,3-shot,pass@1,36.00,38.00,34.00,38.00,38.00
codellama-13b,python,zero,0-shot,pass@1,32.00,28.00,28.00,28.00,30.00
codellama-34b,java,naive,3-shot,pass@1,22.64,30.19,28.30,30.19,30.19
codellama-34b,java,retrieval,3-shot,pass@1,28.30,28.30,28.30,30.19,30.19
codellama-34b,java,zero,0-shot,pass@1,26.42,26.42,28.30,26.42,26.42
codellama-34b,python,naive,3-shot,pass@1,30.00,30.00,32.00,28.00,32.00
codellama-34b,python,retrieval,3-shot,pass@1,34.00,32.00,30.00,28.00,28.00
codellama-34b,python,zero,0-shot,pass@1,36.00,30.00,26.00,26.00,26.00
codellama-7b,java,naive,3-shot,pass@1,22.64,22.64,18.87,18.87,18.87
codellama-7b,java,retrieval,3-shot,pass@1,22.64,22.64,20.75,20.75,20.75
codellama-7b,java,zero,0-shot,pass@1,20.75,15.09,15.09,13.21,13.21
codellama-7b,python,naive,3-shot,pass@1,24.00,28.00,26.00,22.00,26.00
codellama-7b,python,retrieval,3-shot,pass@1,30.00,30.00,26.00,28.00,28.00
codellama-7b,python,zero,0-shot,pass@1,22.00,26.00,24.00,22.00,26.00
gpt-20b,java,naive,3-shot,pass@1,79.25,73.58,83.02,83.02,83.02
gpt-20b,java,retrieval,3-shot,pass@1,83.02,75.47,79.25,81.13,75.47
gpt-20b,java,zero,0-shot,pass@1,83.02,79.25,79.25,77.36,75.47
gpt-20b,python,naive,3-shot,pass@1,72.00,72.00,70.00,72.00,70.00
gpt-20b,python,retrieval,3-shot,pass@1,72.00,72.00,70.00,64.00,72.00
gpt-20b,python,zero,0-shot,pass@1,80.00,70.00,72.00,68.00,76.00
qwen2.5-1.5b,java,naive,3-shot,pass@1,39.62,39.62,39.62,37.74,39.62
qwen2.5-1.5b,java,retrieval,3-shot,pass@1,45.28,37.74,39.62,39.62,39.62
qwen2.5-1.5b,java,zero,0-shot,pass@1,45.28,45.28,47.17,45.28,45.28
qwen2.5-1.5b,python,naive,3-shot,pass@1,40.00,38.00,44.00,42.00,40.00
qwen2.5-1.5b,python,retrieval,3-shot,pass@1,38.00,42.00,42.00,42.00,44.00
qwen2.5-1.5b,python,zero,0-shot,pass@1,42.00,42.00,38.00,44.00,42.00
qwen2.5-32b,java,naive,3-shot,pass@1,67.92,67.92,66.04,66.04,64.15
qwen2.5-32b,java,retrieval,3-shot,pass@1,69.81,69.81,67.92,69.81,67.92
qwen2.5-32b,java,zero,0-shot,pass@1,67.92,66.04,67.92,69.81,67.92
qwen2.5-32b,python,naive,3-shot,pass@1,74.00,72.00,64.00,62.00,58.00
qwen2.5-32b,python,retrieval,3-shot,pass@1,72.00,72.00,70.00,68.00,68.00
qwen2.5-32b,python,zero,0-shot,pass@1,72.00,72.00,72.00,70.00,72.00
qwen2.5-7b,java,naive,3-shot,pass@1,64.15,64.15,62.26,64.15,64.15
qwen2.5-7b,java,retrieval,3-shot,pass@1,62.26,62.26,66.04,64.15,64.15
qwen2.5-7b,java,zero,0-shot,pass@1,60.38,60.38,60.38,64.15,60.38
qwen2.5-7b,python,naive,3-shot,pass@1,62.00,58.00,58.00,58.00,58.00
qwen2.5-7b,python,retrieval,3-shot,pass@1,60.00,52.00,50.00,48.00,46.00
qwen2.5-7b,python,zero,0-shot,pass@1,58.00,56.00,56.00,54.00,52.00
qwen3.8-27b-original,java,retrieval,3-shot,pass@1,67.92,69.81,69.81,69.81,67.92
qwen3.8-27b-original,java,zero,0-shot,pass@1,69.81,69.81,71.70,67.92,69.81
qwen3.8-27b-original,python,retrieval,3-shot,pass@1,72.00,70.00,72.00,68.00,70.00
qwen3.8-27b-original,python,zero,0-shot,pass@1,82.00,76.00,74.00,72.00,68.00
