ID,Model,Task,Method,Shot,Compare,OR,p_value,p_value_holm,p_value_fdr_bh
1,codellama-13b,python,naive,3-shot,BASE vs STRUCT,2.5,0.375,0.75,0.5
2,codellama-13b,python,naive,3-shot,BASE vs ROBUST,5.0,0.125,0.5,0.25
3,codellama-13b,python,naive,3-shot,BASE vs REASONING,1.5,1.0,1.0,1.0
4,codellama-13b,python,naive,3-shot,BASE vs EDGE,3.5,0.125,0.5,0.25
5,codellama-13b,python,retrieval,3-shot,BASE vs STRUCT,2.5,0.375,1.0,1.0
6,codellama-13b,python,retrieval,3-shot,BASE vs ROBUST,1.333,1.0,1.0,1.0
7,codellama-13b,python,retrieval,3-shot,BASE vs REASONING,2.0,0.625,1.0,1.0
8,codellama-13b,python,retrieval,3-shot,BASE vs EDGE,1.0,1.0,1.0,1.0
9,codellama-13b,python,zero,0-shot,BASE vs STRUCT,2.5,0.375,1.0,0.75
10,codellama-13b,python,zero,0-shot,BASE vs ROBUST,1.5,1.0,1.0,1.0
11,codellama-13b,python,zero,0-shot,BASE vs REASONING,5.0,0.125,0.5,0.5
12,codellama-13b,python,zero,0-shot,BASE vs EDGE,1.5,1.0,1.0,1.0
13,codellama-34b,python,naive,3-shot,BASE vs STRUCT,0.857,1.0,1.0,1.0
14,codellama-34b,python,naive,3-shot,BASE vs ROBUST,1.5,1.0,1.0,1.0
15,codellama-34b,python,naive,3-shot,BASE vs REASONING,0.6,0.6875,1.0,1.0
16,codellama-34b,python,naive,3-shot,BASE vs EDGE,1.25,1.0,1.0,1.0
17,codellama-34b,python,retrieval,3-shot,BASE vs STRUCT,5.0,0.125,0.5,0.5
18,codellama-34b,python,retrieval,3-shot,BASE vs ROBUST,1.5,1.0,1.0,1.0
19,codellama-34b,python,retrieval,3-shot,BASE vs REASONING,2.5,0.375,1.0,0.75
20,codellama-34b,python,retrieval,3-shot,BASE vs EDGE,0.75,1.0,1.0,1.0
21,codellama-34b,python,zero,0-shot,BASE vs STRUCT,3.0,0.21875,0.65625,0.4375
22,codellama-34b,python,zero,0-shot,BASE vs ROBUST,1.25,1.0,1.0,1.0
23,codellama-34b,python,zero,0-shot,BASE vs REASONING,2.0,0.34375,0.6875,0.45833
24,codellama-34b,python,zero,0-shot,BASE vs EDGE,3.5,0.125,0.5,0.4375
25,codellama-7b,python,naive,3-shot,BASE vs STRUCT,0.2,0.125,0.5,0.5
26,codellama-7b,python,naive,3-shot,BASE vs ROBUST,0.4,0.375,1.0,0.66667
27,codellama-7b,python,naive,3-shot,BASE vs REASONING,0.333,0.5,1.0,0.66667
28,codellama-7b,python,naive,3-shot,BASE vs EDGE,1.0,1.0,1.0,1.0
29,codellama-7b,python,retrieval,3-shot,BASE vs STRUCT,1.667,0.6875,1.0,1.0
30,codellama-7b,python,retrieval,3-shot,BASE vs ROBUST,1.0,1.0,1.0,1.0
31,codellama-7b,python,retrieval,3-shot,BASE vs REASONING,1.0,1.0,1.0,1.0
32,codellama-7b,python,retrieval,3-shot,BASE vs EDGE,3.0,0.5,1.0,1.0
33,codellama-7b,python,zero,0-shot,BASE vs STRUCT,1.0,1.0,1.0,1.0
34,codellama-7b,python,zero,0-shot,BASE vs ROBUST,1.0,1.0,1.0,1.0
35,codellama-7b,python,zero,0-shot,BASE vs REASONING,2.0,0.45312,1.0,0.90625
36,codellama-7b,python,zero,0-shot,BASE vs EDGE,2.5,0.375,1.0,0.90625
37,gpt-20b,python,naive,3-shot,BASE vs STRUCT,1.0,1.0,1.0,1.0
38,gpt-20b,python,naive,3-shot,BASE vs ROBUST,2.0,1.0,1.0,1.0
39,gpt-20b,python,naive,3-shot,BASE vs REASONING,2.0,1.0,1.0,1.0
40,gpt-20b,python,naive,3-shot,BASE vs EDGE,2.0,1.0,1.0,1.0
41,gpt-20b,python,retrieval,3-shot,BASE vs STRUCT,1.5,1.0,1.0,1.0
42,gpt-20b,python,retrieval,3-shot,BASE vs ROBUST,1.5,1.0,1.0,1.0
43,gpt-20b,python,retrieval,3-shot,BASE vs REASONING,1.0,1.0,1.0,1.0
44,gpt-20b,python,retrieval,3-shot,BASE vs EDGE,1.5,1.0,1.0,1.0
45,gpt-20b,python,zero,0-shot,BASE vs STRUCT,2.0,1.0,1.0,1.0
46,gpt-20b,python,zero,0-shot,BASE vs ROBUST,1.0,1.0,1.0,1.0
47,gpt-20b,python,zero,0-shot,BASE vs REASONING,3.0,0.5,1.0,1.0
48,gpt-20b,python,zero,0-shot,BASE vs EDGE,2.0,1.0,1.0,1.0
49,qwen2.5-1.5b,python,naive,3-shot,BASE vs STRUCT,1.0,1.0,1.0,1.0
50,qwen2.5-1.5b,python,naive,3-shot,BASE vs ROBUST,1.0,1.0,1.0,1.0
51,qwen2.5-1.5b,python,naive,3-shot,BASE vs REASONING,0.571,0.50781,1.0,1.0
52,qwen2.5-1.5b,python,naive,3-shot,BASE vs EDGE,1.0,1.0,1.0,1.0
53,qwen2.5-1.5b,python,retrieval,3-shot,BASE vs STRUCT,0.667,1.0,1.0,1.0
54,qwen2.5-1.5b,python,retrieval,3-shot,BASE vs ROBUST,1.5,1.0,1.0,1.0
55,qwen2.5-1.5b,python,retrieval,3-shot,BASE vs REASONING,1.0,1.0,1.0,1.0
56,qwen2.5-1.5b,python,retrieval,3-shot,BASE vs EDGE,0.4,0.375,1.0,1.0
57,qwen2.5-1.5b,python,zero,0-shot,BASE vs STRUCT,0.75,1.0,1.0,1.0
58,qwen2.5-1.5b,python,zero,0-shot,BASE vs ROBUST,0.75,1.0,1.0,1.0
59,qwen2.5-1.5b,python,zero,0-shot,BASE vs REASONING,1.0,1.0,1.0,1.0
60,qwen2.5-1.5b,python,zero,0-shot,BASE vs EDGE,1.0,1.0,1.0,1.0
61,qwen2.5-32b,python,naive,3-shot,BASE vs STRUCT,0.75,1.0,1.0,1.0
62,qwen2.5-32b,python,naive,3-shot,BASE vs ROBUST,2.0,0.45312,1.0,0.90625
63,qwen2.5-32b,python,naive,3-shot,BASE vs REASONING,2.5,0.375,1.0,0.90625
64,qwen2.5-32b,python,naive,3-shot,BASE vs EDGE,1.333,1.0,1.0,1.0
65,qwen2.5-32b,python,retrieval,3-shot,BASE vs STRUCT,2.0,0.625,0.65625,0.625
66,qwen2.5-32b,python,retrieval,3-shot,BASE vs ROBUST,3.0,0.21875,0.65625,0.29167
67,qwen2.5-32b,python,retrieval,3-shot,BASE vs REASONING,3.0,0.21875,0.65625,0.29167
68,qwen2.5-32b,python,retrieval,3-shot,BASE vs EDGE,5.0,0.125,0.5,0.29167
69,qwen2.5-32b,python,zero,0-shot,BASE vs STRUCT,0.2,0.125,0.5,0.4375
70,qwen2.5-32b,python,zero,0-shot,BASE vs ROBUST,0.333,0.21875,0.65625,0.4375
71,qwen2.5-32b,python,zero,0-shot,BASE vs REASONING,0.4,0.375,0.75,0.5
72,qwen2.5-32b,python,zero,0-shot,BASE vs EDGE,1.667,0.6875,0.75,0.6875
73,qwen2.5-7b,python,naive,3-shot,BASE vs STRUCT,1.25,1.0,1.0,1.0
74,qwen2.5-7b,python,naive,3-shot,BASE vs ROBUST,2.0,0.45312,1.0,1.0
75,qwen2.5-7b,python,naive,3-shot,BASE vs REASONING,0.8,1.0,1.0,1.0
76,qwen2.5-7b,python,naive,3-shot,BASE vs EDGE,1.333,1.0,1.0,1.0
