model,task,method,shot,pass@k,pass@k_40,pass@k_185,pass@k_294,pass@k_480,pass@k_638
codellama-13b,java,naive,3-shot,pass@1,18.87,26.42,26.42,28.30,20.75
codellama-13b,java,retrieval,3-shot,pass@1,30.19,22.64,24.53,22.64,22.64
codellama-13b,java,zero,0-shot,pass@1,16.98,28.30,15.09,22.64,18.87
codellama-13b,python,naive,3-shot,pass@1,30.00,30.00,30.00,24.00,26.00
codellama-13b,python,retrieval,3-shot,pass@1,32.00,30.00,36.00,30.00,26.00
codellama-13b,python,zero,0-shot,pass@1,30.00,28.00,24.00,22.00,28.00
codellama-34b,java,naive,3-shot,pass@1,20.75,22.64,28.30,30.19,22.64
codellama-34b,java,retrieval,3-shot,pass@1,13.21,18.87,22.64,24.53,28.30
codellama-34b,java,zero,0-shot,pass@1,24.53,28.30,20.75,16.98,24.53
codellama-34b,python,naive,3-shot,pass@1,24.00,26.00,26.00,34.00,30.00
codellama-34b,python,retrieval,3-shot,pass@1,22.00,26.00,30.00,28.00,26.00
codellama-34b,python,zero,0-shot,pass@1,26.00,26.00,24.00,24.00,22.00
codellama-7b,java,naive,3-shot,pass@1,15.09,18.87,16.98,18.87,16.98
codellama-7b,java,retrieval,3-shot,pass@1,18.87,22.64,18.87,15.09,20.75
codellama-7b,java,zero,0-shot,pass@1,18.87,18.87,22.64,18.87,16.98
codellama-7b,python,naive,3-shot,pass@1,14.00,20.00,30.00,24.00,22.00
codellama-7b,python,retrieval,3-shot,pass@1,20.00,26.00,18.00,24.00,18.00
codellama-7b,python,zero,0-shot,pass@1,26.00,20.00,24.00,26.00,20.00
gpt-20b,java,naive,3-shot,pass@1,81.13,79.25,73.58,79.25,75.47
gpt-20b,java,retrieval,3-shot,pass@1,79.25,83.02,79.25,71.70,75.47
gpt-20b,java,zero,0-shot,pass@1,77.36,83.02,79.25,86.79,77.36
gpt-20b,python,naive,3-shot,pass@1,74.00,74.00,72.00,74.00,76.00
gpt-20b,python,retrieval,3-shot,pass@1,74.00,70.00,74.00,76.00,72.00
gpt-20b,python,zero,0-shot,pass@1,76.00,80.00,72.00,76.00,74.00
qwen2.5-1.5b,java,naive,3-shot,pass@1,30.19,26.42,28.30,24.53,24.53
qwen2.5-1.5b,java,retrieval,3-shot,pass@1,32.08,26.42,24.53,33.96,32.08
qwen2.5-1.5b,java,zero,0-shot,pass@1,33.96,37.74,26.42,32.08,20.75
qwen2.5-1.5b,python,naive,3-shot,pass@1,28.00,24.00,30.00,30.00,28.00
qwen2.5-1.5b,python,retrieval,3-shot,pass@1,32.00,30.00,28.00,32.00,36.00
qwen2.5-1.5b,python,zero,0-shot,pass@1,24.00,34.00,32.00,28.00,30.00
qwen2.5-32b,java,naive,3-shot,pass@1,64.15,64.15,67.92,64.15,66.04
qwen2.5-32b,java,retrieval,3-shot,pass@1,67.92,66.04,69.81,69.81,66.04
qwen2.5-32b,java,zero,0-shot,pass@1,62.26,62.26,69.81,64.15,58.49
qwen2.5-32b,python,naive,3-shot,pass@1,66.00,74.00,62.00,64.00,58.00
qwen2.5-32b,python,retrieval,3-shot,pass@1,70.00,70.00,68.00,64.00,62.00
qwen2.5-32b,python,zero,0-shot,pass@1,76.00,74.00,70.00,70.00,68.00
qwen2.5-7b,java,naive,3-shot,pass@1,58.49,60.38,62.26,54.72,58.49
qwen2.5-7b,java,retrieval,3-shot,pass@1,56.60,64.15,58.49,64.15,62.26
qwen2.5-7b,java,zero,0-shot,pass@1,62.26,56.60,64.15,62.26,62.26
qwen2.5-7b,python,naive,3-shot,pass@1,50.00,58.00,52.00,60.00,50.00
qwen2.5-7b,python,retrieval,3-shot,pass@1,50.00,50.00,46.00,52.00,44.00
qwen2.5-7b,python,zero,0-shot,pass@1,58.00,46.00,56.00,52.00,60.00
