ID,Model,Task,Method,Shot,Compare,OR,p_value,p_value_holm,p_value_fdr_bh
1,codellama-13b,java,naive,3-shot,BASE vs STRUCT,2.0,0.34375,1.0,0.51693
2,codellama-13b,java,naive,3-shot,BASE vs ROBUST,1.8,0.3877,1.0,0.51693
3,codellama-13b,java,naive,3-shot,BASE vs REASONING,2.667,0.17969,0.71875,0.51693
4,codellama-13b,java,naive,3-shot,BASE vs EDGE,1.25,1.0,1.0,1.0
5,codellama-13b,java,retrieval,3-shot,BASE vs STRUCT,0.5,0.34375,0.875,0.45833
6,codellama-13b,java,retrieval,3-shot,BASE vs ROBUST,0.571,0.50781,0.875,0.50781
7,codellama-13b,java,retrieval,3-shot,BASE vs REASONING,0.333,0.21875,0.875,0.4375
8,codellama-13b,java,retrieval,3-shot,BASE vs EDGE,0.333,0.21875,0.875,0.4375
9,codellama-13b,java,zero,0-shot,BASE vs STRUCT,2.5,0.146,0.58398,0.58398
10,codellama-13b,java,zero,0-shot,BASE vs ROBUST,0.75,1.0,1.0,1.0
11,codellama-13b,java,zero,0-shot,BASE vs REASONING,2.0,0.45312,1.0,0.90625
12,codellama-13b,java,zero,0-shot,BASE vs EDGE,1.2,1.0,1.0,1.0
13,codellama-34b,java,naive,3-shot,BASE vs STRUCT,1.143,1.0,1.0,1.0
14,codellama-34b,java,naive,3-shot,BASE vs ROBUST,2.333,0.28906,0.90625,0.57812
15,codellama-34b,java,naive,3-shot,BASE vs REASONING,2.25,0.22656,0.90625,0.57812
16,codellama-34b,java,naive,3-shot,BASE vs EDGE,1.25,1.0,1.0,1.0
17,codellama-34b,java,retrieval,3-shot,BASE vs STRUCT,1.75,0.50781,0.50781,0.50781
18,codellama-34b,java,retrieval,3-shot,BASE vs ROBUST,2.667,0.17969,0.35938,0.23958
19,codellama-34b,java,retrieval,3-shot,BASE vs REASONING,4.0,0.07031,0.21094,0.14062
20,codellama-34b,java,retrieval,3-shot,BASE vs EDGE,5.0,0.02148,0.08594,0.08594
21,codellama-34b,java,zero,0-shot,BASE vs STRUCT,1.4,0.75391,1.0,1.0
22,codellama-34b,java,zero,0-shot,BASE vs ROBUST,0.667,0.72656,1.0,1.0
23,codellama-34b,java,zero,0-shot,BASE vs REASONING,0.5,0.34375,1.0,1.0
24,codellama-34b,java,zero,0-shot,BASE vs EDGE,1.0,1.0,1.0,1.0
25,codellama-7b,java,naive,3-shot,BASE vs STRUCT,1.5,0.72656,1.0,1.0
26,codellama-7b,java,naive,3-shot,BASE vs ROBUST,1.25,1.0,1.0,1.0
27,codellama-7b,java,naive,3-shot,BASE vs REASONING,1.4,0.75391,1.0,1.0
28,codellama-7b,java,naive,3-shot,BASE vs EDGE,1.2,1.0,1.0,1.0
29,codellama-7b,java,retrieval,3-shot,BASE vs STRUCT,1.667,0.6875,1.0,1.0
30,codellama-7b,java,retrieval,3-shot,BASE vs ROBUST,1.0,1.0,1.0,1.0
31,codellama-7b,java,retrieval,3-shot,BASE vs REASONING,0.6,0.6875,1.0,1.0
32,codellama-7b,java,retrieval,3-shot,BASE vs EDGE,1.333,1.0,1.0,1.0
33,codellama-7b,java,zero,0-shot,BASE vs STRUCT,1.0,1.0,1.0,1.0
34,codellama-7b,java,zero,0-shot,BASE vs ROBUST,1.667,0.6875,1.0,1.0
35,codellama-7b,java,zero,0-shot,BASE vs REASONING,1.0,1.0,1.0,1.0
