ID,Model,Task,Method,Shot,Compare,OR,p_value,p_value_holm,p_value_fdr_bh
1,codellama-13b,python,naive,3-shot,BASE vs STRUCT,1.0,1.0,1.0,1.0
2,codellama-13b,python,naive,3-shot,BASE vs ROBUST,1.0,1.0,1.0,1.0
3,codellama-13b,python,naive,3-shot,BASE vs REASONING,0.5,0.45312,1.0,1.0
4,codellama-13b,python,naive,3-shot,BASE vs EDGE,0.6,0.6875,1.0,1.0
5,codellama-13b,python,retrieval,3-shot,BASE vs STRUCT,0.5,1.0,1.0,1.0
6,codellama-13b,python,retrieval,3-shot,BASE vs ROBUST,1.667,0.6875,1.0,1.0
7,codellama-13b,python,retrieval,3-shot,BASE vs REASONING,0.75,1.0,1.0,1.0
8,codellama-13b,python,retrieval,3-shot,BASE vs EDGE,0.4,0.375,1.0,1.0
9,codellama-13b,python,zero,0-shot,BASE vs STRUCT,0.8,1.0,1.0,1.0
10,codellama-13b,python,zero,0-shot,BASE vs ROBUST,0.571,0.50781,1.0,1.0
11,codellama-13b,python,zero,0-shot,BASE vs REASONING,0.333,0.21875,0.875,0.875
12,codellama-13b,python,zero,0-shot,BASE vs EDGE,0.8,1.0,1.0,1.0
13,codellama-34b,python,naive,3-shot,BASE vs STRUCT,1.2,1.0,1.0,1.0
14,codellama-34b,python,naive,3-shot,BASE vs ROBUST,1.25,1.0,1.0,1.0
15,codellama-34b,python,naive,3-shot,BASE vs REASONING,6.0,0.0625,0.25,0.25
16,codellama-34b,python,naive,3-shot,BASE vs EDGE,2.0,0.45312,1.0,0.90625
17,codellama-34b,python,retrieval,3-shot,BASE vs STRUCT,1.667,0.6875,1.0,0.72656
18,codellama-34b,python,retrieval,3-shot,BASE vs ROBUST,2.333,0.28906,1.0,0.72656
19,codellama-34b,python,retrieval,3-shot,BASE vs REASONING,2.0,0.45312,1.0,0.72656
20,codellama-34b,python,retrieval,3-shot,BASE vs EDGE,1.5,0.72656,1.0,0.72656
21,codellama-34b,python,zero,0-shot,BASE vs STRUCT,1.0,1.0,1.0,1.0
22,codellama-34b,python,zero,0-shot,BASE vs ROBUST,0.75,1.0,1.0,1.0
23,codellama-34b,python,zero,0-shot,BASE vs REASONING,0.833,1.0,1.0,1.0
24,codellama-34b,python,zero,0-shot,BASE vs EDGE,0.667,0.72656,1.0,1.0
25,codellama-7b,python,naive,3-shot,BASE vs STRUCT,2.0,0.45312,0.45312,0.45312
26,codellama-7b,python,naive,3-shot,BASE vs ROBUST,5.0,0.02148,0.08594,0.08594
27,codellama-7b,python,naive,3-shot,BASE vs REASONING,3.5,0.125,0.375,0.25
28,codellama-7b,python,naive,3-shot,BASE vs EDGE,3.0,0.21875,0.4375,0.29167
29,codellama-7b,python,retrieval,3-shot,BASE vs STRUCT,2.0,0.45312,1.0,1.0
30,codellama-7b,python,retrieval,3-shot,BASE vs ROBUST,0.75,1.0,1.0,1.0
31,codellama-7b,python,retrieval,3-shot,BASE vs REASONING,1.5,0.72656,1.0,1.0
32,codellama-7b,python,retrieval,3-shot,BASE vs EDGE,0.75,1.0,1.0,1.0
