dataset,language,model,method,shot,prompt_index,failure_type,count,rate
mceval,java,codellama-13b,naive,3-shot,0,LOGIC_ASSERTION,33,0.6226415094339622
mceval,java,codellama-13b,naive,3-shot,0,PASS,10,0.18867924528301888
mceval,java,codellama-13b,naive,3-shot,0,RUNTIME_EXCEPTION,1,0.018867924528301886
mceval,java,codellama-13b,naive,3-shot,0,SYNTAX_COMPILE,7,0.1320754716981132
mceval,java,codellama-13b,naive,3-shot,0,TIMEOUT,2,0.03773584905660377
mceval,java,codellama-13b,naive,3-shot,1,LOGIC_ASSERTION,26,0.49056603773584906
mceval,java,codellama-13b,naive,3-shot,1,PASS,14,0.2641509433962264
mceval,java,codellama-13b,naive,3-shot,1,RUNTIME_EXCEPTION,2,0.03773584905660377
mceval,java,codellama-13b,naive,3-shot,1,SYNTAX_COMPILE,11,0.20754716981132076
mceval,java,codellama-13b,naive,3-shot,2,LOGIC_ASSERTION,27,0.5094339622641509
mceval,java,codellama-13b,naive,3-shot,2,PASS,14,0.2641509433962264
mceval,java,codellama-13b,naive,3-shot,2,RUNTIME_EXCEPTION,2,0.03773584905660377
mceval,java,codellama-13b,naive,3-shot,2,SYNTAX_COMPILE,10,0.18867924528301888
mceval,java,codellama-13b,naive,3-shot,3,LOGIC_ASSERTION,24,0.4528301886792453
mceval,java,codellama-13b,naive,3-shot,3,PASS,15,0.2830188679245283
mceval,java,codellama-13b,naive,3-shot,3,RUNTIME_EXCEPTION,4,0.07547169811320754
mceval,java,codellama-13b,naive,3-shot,3,SYNTAX_COMPILE,10,0.18867924528301888
mceval,java,codellama-13b,naive,3-shot,4,LOGIC_ASSERTION,28,0.5283018867924528
mceval,java,codellama-13b,naive,3-shot,4,PASS,11,0.20754716981132076
mceval,java,codellama-13b,naive,3-shot,4,RUNTIME_EXCEPTION,2,0.03773584905660377
mceval,java,codellama-13b,naive,3-shot,4,SYNTAX_COMPILE,12,0.22641509433962265
mceval,java,codellama-13b,retrieval,3-shot,0,LOGIC_ASSERTION,23,0.4339622641509434
mceval,java,codellama-13b,retrieval,3-shot,0,PASS,16,0.3018867924528302
mceval,java,codellama-13b,retrieval,3-shot,0,RUNTIME_EXCEPTION,2,0.03773584905660377
mceval,java,codellama-13b,retrieval,3-shot,0,SYNTAX_COMPILE,11,0.20754716981132076
mceval,java,codellama-13b,retrieval,3-shot,0,TIMEOUT,1,0.018867924528301886
mceval,java,codellama-13b,retrieval,3-shot,1,LOGIC_ASSERTION,27,0.5094339622641509
mceval,java,codellama-13b,retrieval,3-shot,1,PASS,12,0.22641509433962265
mceval,java,codellama-13b,retrieval,3-shot,1,SYNTAX_COMPILE,13,0.24528301886792453
mceval,java,codellama-13b,retrieval,3-shot,1,TIMEOUT,1,0.018867924528301886
mceval,java,codellama-13b,retrieval,3-shot,2,LOGIC_ASSERTION,28,0.5283018867924528
mceval,java,codellama-13b,retrieval,3-shot,2,PASS,13,0.24528301886792453
mceval,java,codellama-13b,retrieval,3-shot,2,RUNTIME_EXCEPTION,1,0.018867924528301886
mceval,java,codellama-13b,retrieval,3-shot,2,SYNTAX_COMPILE,10,0.18867924528301888
mceval,java,codellama-13b,retrieval,3-shot,2,TIMEOUT,1,0.018867924528301886
mceval,java,codellama-13b,retrieval,3-shot,3,LOGIC_ASSERTION,27,0.5094339622641509
mceval,java,codellama-13b,retrieval,3-shot,3,PASS,12,0.22641509433962265
mceval,java,codellama-13b,retrieval,3-shot,3,RUNTIME_EXCEPTION,3,0.05660377358490566
mceval,java,codellama-13b,retrieval,3-shot,3,SYNTAX_COMPILE,10,0.18867924528301888
mceval,java,codellama-13b,retrieval,3-shot,3,TIMEOUT,1,0.018867924528301886
mceval,java,codellama-13b,retrieval,3-shot,4,LOGIC_ASSERTION,26,0.49056603773584906
mceval,java,codellama-13b,retrieval,3-shot,4,PASS,12,0.22641509433962265
mceval,java,codellama-13b,retrieval,3-shot,4,RUNTIME_EXCEPTION,1,0.018867924528301886
mceval,java,codellama-13b,retrieval,3-shot,4,SYNTAX_COMPILE,11,0.20754716981132076
mceval,java,codellama-13b,retrieval,3-shot,4,TIMEOUT,3,0.05660377358490566
mceval,java,codellama-13b,zero,0-shot,0,LOGIC_ASSERTION,21,0.39622641509433965
mceval,java,codellama-13b,zero,0-shot,0,PASS,9,0.16981132075471697
mceval,java,codellama-13b,zero,0-shot,0,RUNTIME_EXCEPTION,1,0.018867924528301886
mceval,java,codellama-13b,zero,0-shot,0,SYNTAX_COMPILE,21,0.39622641509433965
mceval,java,codellama-13b,zero,0-shot,0,TIMEOUT,1,0.018867924528301886
mceval,java,codellama-13b,zero,0-shot,1,LOGIC_ASSERTION,28,0.5283018867924528
mceval,java,codellama-13b,zero,0-shot,1,PASS,15,0.2830188679245283
mceval,java,codellama-13b,zero,0-shot,1,RUNTIME_EXCEPTION,1,0.018867924528301886
mceval,java,codellama-13b,zero,0-shot,1,SYNTAX_COMPILE,7,0.1320754716981132
mceval,java,codellama-13b,zero,0-shot,1,TIMEOUT,2,0.03773584905660377
mceval,java,codellama-13b,zero,0-shot,2,LOGIC_ASSERTION,27,0.5094339622641509
mceval,java,codellama-13b,zero,0-shot,2,PASS,8,0.1509433962264151
mceval,java,codellama-13b,zero,0-shot,2,RUNTIME_EXCEPTION,1,0.018867924528301886
mceval,java,codellama-13b,zero,0-shot,2,SIGNATURE_CONTRACT,1,0.018867924528301886
mceval,java,codellama-13b,zero,0-shot,2,SYNTAX_COMPILE,16,0.3018867924528302
mceval,java,codellama-13b,zero,0-shot,3,LOGIC_ASSERTION,24,0.4528301886792453
mceval,java,codellama-13b,zero,0-shot,3,PASS,12,0.22641509433962265
mceval,java,codellama-13b,zero,0-shot,3,RUNTIME_EXCEPTION,1,0.018867924528301886
