ID,Model,Task,Method,Shot,Compare,OR,p_value,p_value_holm,p_value_fdr_bh
1,gpt-20b,python,naive,3-shot,BASE vs STRUCT,1.5,0.72656,1.0,0.75391
2,gpt-20b,python,naive,3-shot,BASE vs ROBUST,1.4,0.75391,1.0,0.75391
3,gpt-20b,python,naive,3-shot,BASE vs REASONING,2.333,0.28906,0.86719,0.57812
4,gpt-20b,python,naive,3-shot,BASE vs EDGE,2.4,0.11847,0.47388,0.47388
5,codellama-7b,python,naive,3-shot,BASE vs STRUCT,2.571,0.03469,0.13876,0.13876
6,codellama-7b,python,naive,3-shot,BASE vs ROBUST,1.417,0.44207,0.68986,0.44207
7,codellama-7b,python,naive,3-shot,BASE vs REASONING,2.0,0.1338,0.4014,0.2676
8,codellama-7b,python,naive,3-shot,BASE vs EDGE,1.5,0.34493,0.68986,0.44207
9,codellama-34b,python,naive,3-shot,BASE vs STRUCT,0.812,0.70111,1.0,1.0
10,codellama-34b,python,naive,3-shot,BASE vs ROBUST,0.421,0.04329,0.17314,0.17314
11,codellama-34b,python,naive,3-shot,BASE vs REASONING,0.929,1.0,1.0,1.0
12,codellama-34b,python,naive,3-shot,BASE vs EDGE,1.067,1.0,1.0,1.0
13,codellama-13b,python,retrieval,3-shot,BASE vs STRUCT,1.25,0.69004,1.0,0.85055
14,codellama-13b,python,retrieval,3-shot,BASE vs ROBUST,0.867,0.84502,1.0,0.85055
15,codellama-13b,python,retrieval,3-shot,BASE vs REASONING,1.3,0.66362,1.0,0.85055
16,codellama-13b,python,retrieval,3-shot,BASE vs EDGE,0.875,0.85055,1.0,0.85055
17,qwen3.8-27b-original,python,retrieval,3-shot,BASE vs STRUCT,0.917,1.0,1.0,1.0
18,qwen3.8-27b-original,python,retrieval,3-shot,BASE vs ROBUST,1.091,1.0,1.0,1.0
19,qwen3.8-27b-original,python,retrieval,3-shot,BASE vs REASONING,1.0,1.0,1.0,1.0
20,qwen3.8-27b-original,python,retrieval,3-shot,BASE vs EDGE,1.231,0.70111,1.0,1.0
21,qwen2.5-32b,python,naive,3-shot,BASE vs STRUCT,3.0,0.10938,0.4375,0.29199
22,qwen2.5-32b,python,naive,3-shot,BASE vs ROBUST,1.6,0.54883,1.0,0.73177
23,qwen2.5-32b,python,naive,3-shot,BASE vs REASONING,2.5,0.146,0.43799,0.29199
24,qwen2.5-32b,python,naive,3-shot,BASE vs EDGE,1.333,0.77441,1.0,0.77441
25,gpt-20b,python,zero,0-shot,BASE vs STRUCT,1.429,0.60724,1.0,0.80965
26,gpt-20b,python,zero,0-shot,BASE vs ROBUST,1.857,0.23788,0.95154,0.80965
27,gpt-20b,python,zero,0-shot,BASE vs REASONING,0.9,1.0,1.0,1.0
28,gpt-20b,python,zero,0-shot,BASE vs EDGE,1.75,0.50781,1.0,0.80965
29,codellama-13b,python,naive,3-shot,BASE vs STRUCT,0.692,0.50344,1.0,0.85055
30,codellama-13b,python,naive,3-shot,BASE vs ROBUST,0.5,0.10775,0.43101,0.43101
31,codellama-13b,python,naive,3-shot,BASE vs REASONING,0.875,0.85055,1.0,0.85055
32,codellama-13b,python,naive,3-shot,BASE vs EDGE,0.786,0.67764,1.0,0.85055
33,qwen2.5-7b,python,zero,0-shot,BASE vs STRUCT,0.778,0.79053,1.0,1.0
34,qwen2.5-7b,python,zero,0-shot,BASE vs ROBUST,1.091,1.0,1.0,1.0
35,qwen2.5-7b,python,zero,0-shot,BASE vs REASONING,0.812,0.70111,1.0,1.0
